Date & Time,Tweets,Accounts
3/23/16 15:24,#EarthquakePH Information No. 1 23 Mar 2016 - 02:59 PM Location: Marihatag (Surigao Del Sur) Magnitude: 3.1,@philredcross 
3/22/16 21:39,#EarthquakePH Information No.1 22Mar-09:16PM Location:San Julian (Eastern Samar) Magnitude: 2.6 |via @phivolcs_dost,@philredcross 
3/5/16 12:32,#EarthquakePH Information No. 1 Date and Time: 05 Mar 2016 - 11:58 AM Magnitude: 2.4 Location: Calatagan (Batangas),@philredcross 
6/6/16 21:28,#EarthquakePH #EarthquakeDavaoOccidental Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:10 PM Magnitude = 3.5,@phivolcs_dost
5/23/16 5:05,#EarthquakePH #EarthquakePangasinan Earthquake Information No. 1 Date and Time: 23 May 2016 - 04:39 AM Magnitude:2.8,@phivolcs_dost
4/18/16 2:34,#EarthquakePH #EarthquakeSurigaoDelSur Earthquake Information No. 1 Date and Time: 18 Apr 2016 - 02:21 AM Magnitude = 3.5,@phivolcs_dost
4/17/16 20:48,#EarthquakePH #EarthquakeTarlac Earthquake Information No. 1 Date and Time: 17 Apr 2016 - 08:24 PM Magnitude :2.1,@phivolcs_dost
3/30/16 2:24,#EarthquakePH #EarthquakeCagayan Earthquake Information No. 1 Date and Time: 30 Mar 2016 - 02:07 AM Magnitude = Magnitude = 2.3,@phivolcs_dost
3/16/16 20:05,#EarthquakePH Information No. 1 16Mar-07:39pm Magnitude: 3.4 Location: San Esteban (Ilocos Sur) | via @phivolcs_dost,@philredcross 
3/13/16 14:14,#EarthquakePH Information No. 1 13Mar-01:51PM Magnitude:4.7 Location: Paracle (Camarines Norte) | via @phivolcs_dost,@philredcross 
3/7/16 20:12,#EarthquakePH #EarthquakeNueva Vizcaya Earthquake Information No. 1 Date and Time: 07 Mar 2016 - 07:45 PM..,@phivolcs_dost
3/6/16 15:24,#EarthquakePH Information No. 1 Magnitude: 2.2 Location: Mamburao (Occidental Mindoro) | via @phivolcs_dost,@philredcross 
3/5/16 12:32,#EarthquakePH Information No. 1 Date and Time: 05 Mar 2016 - 11:58 AM Magnitude: 2.4 Location: Calatagan (Batangas),@philredcross 
3/2/16 8:27,#EarthquakePH Info No. 1 02Mar2016-08:03AM Location: Burgos (Surigao Del Norte) Magnitude: 3.8 | via @phivolcs_dost,@philredcross 
6/7/16 4:42,#EarthquakePH #EarthquakeDavaoOccidental Earthquake Information No. 1 Date and Time: 07 June 2016 - 08:23 PM Magnitude = 3.8,@phivolcs_dost
3/2/16 7:25,#EarthquakePH Information No. 1 Magnitude = 2.6 Location: Anda (Bohol) | via @phivolcs_dost,@philredcross 
3/2/16 0:12,#EarthquakePH Information No. 1 Date and Time: 01 Mar 2016 - 11:45 PM Magnitude: Ms 3.1 Location: Calayan (Cagayan),@philredcross 
2/22/16 22:24,#EarthquakePH Information No. 2 Location: Calatagan (Batangas) Depth: 091 Magnitude: Ms 4.4 | via @phivolcs_dost,@philredcross 
6/6/16 5:59,#EarthquakePH #EarthquakeSultanKudarat Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:45 PM Magnitude = 2.5,@phivolcs_dost
6/6/16 5:28,#EarthquakePH #EarthquakeDavaoOccidental Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:10 PM Magnitude = 3.5 ,@phivolcs_dost
5/6/16 18:37,#EarthquakePH #EarthquakeIlocosSur Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:56 AM Magnitude = 2.5,@phivolcs_dost
6/5/16 17:29,#EarthquakePH #EarthquakeEasternSamar Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:03 AM Magnitude: 4.1,@phivolcs_dost
6/5/16 13:48,#EarthquakePH #EarthquakeNegrosOccidental Earthquake Information No. 1 Date and Time: 06 June 2016 - 05:17 AM Magnitude: 1.5,@phivolcs_dost
6/6/16 11:10,#EarthquakePH #EarthquakeMountainProvince Earthquake Information No. 1 Date and Time: 06 June 2016 - 02:41 AM Magnitude: 3.3,@phivolcs_dost
6/6/16 9:38,#EarthquakePH #EarthquakeDavaoOriental Earthquake Information No. 1 Date and Time: 06 June 2016 - 01:13 AM Magnitude = 3.1,@phivolcs_dost
6/5/16 11:07,#EarthquakePH #EarthquakeBataan Earthquake Information No. 1 Date and Time: 05 June 2016 - 02:29 AM Magnitude = 2.4,@phivolcs_dost
6/4/16 5:38,#EarthquakePH #EarthquakeSurigaoDelNorte Earthquake Information No. 1 Date and Time: 04 June 2016 - 09:12 PM Magnitude = 3.2,@phivolcs_dost
6/4/16 1:27,#EarthquakePH #EarthquakeBohol Earthquake Information No. 1 Date and Time: 04 June 2016 - 05:07 PM Magnitude = 2.0,@phivolcs_dost
6/4/16 1:09,#EarthquakePH #EarthquakeSurigaodelNorte Earthquake Information No. 1 Date and Time: 04 June 2016 - 05:53 PM Magnitude = 3.6,@phivolcs_dost
6/4/16 0:43,#EarthquakePH #EarthquakeSurigaodelNorte Earthquake Information No. 1 Date and Time: 04 June 2016 - 04:20 PM Magnitude = 3.1,@phivolcs_dost
12/13/14 7:13,"#RadyoPatrol Halaga ng pinsalang idinulot ni #RubyPH, umabot na sa P3.3 bilyon",@DZMMTeleRadyo
6/3/16 20:33,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 04 June 2016 - 12:09 PM Magnitude= 2.1,@phivolcs_dost
6/3/16 16:14,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 04 June 2016 - 8:03 AM Magnitude = 2.8,@phivolcs_dost
6/3/16 12:14,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 04 June 2016 - 3:50 AM Magnitude = 2.4,@phivolcs_dost
1/10/16 3:47,"#Mindanao, #Binaha #Dahil sa #Bagyong '#Onyok'",@ABSCBNNews
6/3/16 12:13,#EarthquakePH #EarthquakeSurigaoDelSur Earthquake Information No. 1 Date and Time: 04 June 2016 - 3:49 AM Magnitude = 2.4,@phivolcs_dost
6/3/16 9:59,#EarthquakePH #EarthquakeNorthernSamar Earthquake Information No. 2 Date and Time: 04 June 2016 - 1:13 AM Magnitude = 4.1,@phivolcs_dost
6/3/16 9:58,#EarthquakePH #EarthquakeNorthernSamar Earthquake Information No. 1 Date and Time: 04 June 2016 - 1:13 AM Magnitude = 3.8,@phivolcs_dost
6/2/16 21:33,#EarthquakePH #EarthquakeAgusanDelNorte #iFelt_AgusanDelNorte Earthquake Information No. 2 Date and Time: 02 June Magnitude = 4.2,@phivolcs_dost
6/3/16 5:18,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 03 June 2016 - 8:56 PM Magnitude = 2.4,@phivolcs_dost
6/3/16 4:51,#EarthquakePH #EarthquakeBatanes Earthquake Information No. 2 Date and Time: 03 June 2016 - 7:50 PM Magnitude = 5.1,@phivolcs_dost
12/16/15 0:52,"#Onyok, inaasahang tatama sa silangang bahagi ng MIndanao, Biyernes ng hapon",@DZMMTeleRadyo
6/2/16 1:15,#EarthquakePH #EarthquakePangasinan Earthquake Information No. 1 Date and Time: 02 June 2016 - 04:59 PM Magnitude = 2.4,@phivolcs_dost
6/1/16 22:29,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 02 June 2016 - 02:11 PM Magnitude = 2.2,@phivolcs_dost
7/11/15 4:05,Typhoon #FalconPH umalis na ng bansa ngunit habagat patuloy na magpapaulan sa malaking bahagi ng bansa. #MagandangUmagaPilipinas,@dzrhnews
6/9/16 17:07,"#LINDOL - Magnitude 5 (3:54AM) - 12 km SW of Ambaguio, Nueva Vizcaya",@IMReadyPH
6/9/16 14:31,"Nueva Vizcaya, niyanig ng magnitude 5 na lindol kaninang madaling araw #ACSBalita",@dzrhnews
6/9/16 13:29,"Nueva Vizcaya, niyanig ng magnitude 4.7 na lindol. #DobolBBalitangBalita",@dzbb
6/9/16 12:57,"Ambaguio, Nueva Vizcaya, niyanig ng magnitude 4.7 na lindol kaninang 3:54am ayon kay Robert Tiglao ng @phivolcs_dost",@dzbb
6/3/16 4:16,"JUST IN: Itbayat, Batanes, niyanig ng magnitude 5.3 na lindol kaninang alas 7:50 ng gabi ayon sa @phivolcs_dost",@dzIQ990
5/23/16 20:37,"Ilocos Sur, niyanig ng magnitude 4.9 na lindol. #SuperBalitaSaTanghaliNationwide",@dzrhnews
5/23/16 17:41,"#LINDOL - Mag. 4.9 - 8km NW of Santa Maria, Ilocos Sur | @phivolcs_dost",@IMReadyPH
5/23/16 17:00,"FLASH REPORT: Magnitude 4.9 na lindol, tumama sa Ilocos Sur alas-7:57 Martes ng umaga | Ulat ni @Dennis_Datu",@DZMMTeleRadyo
7/9/15 17:06,".@dost_pagasa: As of 5:00 pm, nakataas ang YELLOW Rainfall Warning sa Bataan, Zambales at Batangas. #FalconPH",@dzbb
6/6/16 23:19,"Trapik, baha resulta ng biglaang pag-ulan - DZIQ Radyo Inquirer 990AM https://shar.es/1JWy5i  | @jay_dones",@dzIQ990
6/6/16 22:23,MORE: Gutter deep na baha sa Pasong Tamo malapit sa Dela Rosa St. sa Makati City.  |via @_jamesJA,@dzbb
5/21/16 3:42,"Burdeos, Quezon, niyanig ng Magnitude 4.5 na lindol; Intensity 3 naramdaman sa QC | via @phivolcs_dost",@DZMMTeleRadyo
5/19/16 22:45,JUST IN: Puerto Gallera niyanig ng magnitude 3.5 na lindol (1:42pm) http://fb.me/2DyDtprD3  I @phivolcs_dost,@dzrhnews
5/17/16 16:48,"Sarangani, Davao Occidental niyanig ng magnitude 4.3 na lindol kaninang 8:27 ng umaga | @RickyBrozas",@dzIQ990
5/15/16 19:41,"Catbalogan, Samar niyanig ng magnitude 4.7 na lindol - DZIQ Radyo Inquirer 990AM https://shar.es/1dbqSi  | @donadominguez",@dzIQ990
5/15/16 19:32,"Nagkaroon ng Mag. 4.7 na lindol sa 32 km NE ng Catbalogan, Samar kaninang 8:07AM. - @phivolcs_dost",@IMReadyPH
5/15/16 13:22,"Kalingalan Caluang, Sulu, niyanig ng magnitude 3.6 na lindol kaninang 4:10 ng umaga | @phivolcs_dost",@phivolcs_dost
5/10/16 17:36,LINDOL - Mag. 3.4 (8:34AM) - 23km SW of Mati (Davao Oriental),@IMReadyPH
4/4/14 5:07,"Bagyong #Domeng sa labas ng PAR, inaasahang papasok sa PInas sa Linggo/Lunes",@twitter_ph
6/6/16 19:07,"#TVPatrol 2 sa 3 tinangay ng baha sa Majayjay, Laguna, pinaghahanap | via Maira Wallis",@TVPatrol
4/5/16 1:17,"JUST IN: Magnitude 5.9 lindol naitala Sarangani, Davao Occidental (4:29PM)",@dzrhnews
4/4/16 18:18,"JUST IN: Magnitude 4.3 lindol Jose Abad Santos, Davao Occidental (8:40AM)",@dzrhnews
4/3/16 16:15,"Updated Information from @phivolcs_dost: Jomalig, Quezon niyanig ng magnitude 4.8 na lindol kaninang 3:09 ng madaling araw",@dzIQ990
2/15/16 12:33,"Jose Abad Santos, Davao Occidental, niyanig ng magnitude 3.4 na lindol kaninang 4:07AM | via @phivolcs_dost",@DZAR1026
3/5/16 10:17,#EarthquakePH #EarthquakeQuezon Lalawigan ng Quezon: 4.6 magnitude lindol.,@dzrhnews
2/16/16 7:09,#EarthquakePH Information No. 1 Location: Manay (Davao Oriental) Depth: 014 Magnitude: Ms 3.4 | via @phivolcs_dost,@philredcross 
2/10/16 5:33,#EarthquakePH Information No. 2 Date and Time: 10 Feb 2016 Location: General Luna (Quezon) Magnitude: Ms 3.2,@philredcross 
10/19/15 6:34,5.4-magnitude quake strikes off Occidental Mindoro,@cnnphilippines
10/15/15 1:33,@phivolcs_dost: #EarthquakePH information number 2 Magnitude = 4.2 Depth = 064km Location = Kawayan (Biliran),@philredcross 
9/26/15 20:48,@phivolcs_dost: #EarthquakePH 07 Sep. 2015 12:09 PM Magnitude = 3.9 Depth = 010 kilometers Location =Zamboanga City,@philredcross 
9/3/15 8:11,#EarthquakePH Information No. 1 03 Sep. 2015 11:37PM Magnitude =3.2 Depth=025 kilometers Location=Palauig (Zambales),@philredcross 
9/1/15 18:14,@phivolcs_dost #EarthquakePH Information No. 2: Magnitude = 5.5 Depth = 295 kilometers Location = Sarangani,@philredcross 
8/14/15 5:48,"#EarthquakePH Magnitude = 3.2 Depth = 28 km Location = 16.87ÔçN, 120.28ÔçE - 028 km N 07Ôç W of San Fernando (La Union)",@philredcross 
8/12/15 3:38,"Laak, Compostela Valley, niyanig ng 3.3 magnitude na lindol kaninang 4:30am. | #EarthquakePH",@philredcross 
8/2/15 6:01,Magnitude = 5.0 Depth = 607km Location = Aurora (Zamboanga Del Sur) | via @phivolcs_dost #EarthquakePH,@philredcross 
7/30/15 1:02,"#EarthquakePH _ã¢ Magnitude = 3.2 Depth = 3km Location: 16.57ÔçN, 119.85ÔçE - 020 km N 12Ôç W of Bolinao (Pangasinan)",@philredcross 
7/24/16 6:19,24 Jul 2015 - 10:01:02pm Magnitude = 3.1 Depth =118km Location: Nasugbu (Batangas) | via @phivolcs_dost #EarthquakePH,@philredcross 
7/14/16 0:39,Via @phivolcs_dost: No expected damage from 6.1-magnitude #earthquakePH off Davao Occidental; aftershocks expected:,@govph
10/18/16 2:33,"Nasawi sa #earthquakePH, umabot na sa 173",@gmanews
10/17/13 2:38,"#TVPatrol Dalawang sinkhole, natagpuan sa bayan ng Calape sa Bohol. Report ni @HernelTocmo #earthquakePH",@TVPatrol
10/17/13 1:15,UPDATE: 21 nawawala dahil sa #earthquakePH - @NDRRMC_OpCen. #NewsTVLive,@gmanews
7/8/16 17:12,"#UPDATE (8AM, 08 JULY 16) Huling namataan ang bagyong #ButchoyPH, 250km Northwest ng Itbayat, Batanes I @dost_pagasa",@dzrhnews
1/1/15 15:30,"8 bayan sa timog na bahagi ng Cebu, isolated pa rin dahil sa mga pinsalang dulot ng bagyong #SeniangPH. | via @dzbb",@IMReadyPH
12/31/14 23:15,"Limang bayan sa Cebu, isinailalim sa state of calamity dahil sa pananalasa ng bagyong #SeniangPH .",@dzbb
12/31/14 19:35,"Bago magpalit ang taon, naging low pressure area na lang muli ang Bagyong #SeniangPH, ayon sa @dost_pagasa.",@IMReadyPH
1/4/15 12:58,Humina at isa na lang LPA ang #SeniangPH. Huli itong namataan ng @dost_pagasa sa 210 km SSE ng Puerto Princesa City.,@IMReadyPH
1/4/15 12:27,"9 barangay sa Alcantara, Cebu, isolated dahil sa pagbahang may kasamang putik dulot ng Bagyong #SeniangPH #UnangHirit",@UnangHirit
1/4/15 8:45,"29 patay sa landslide sa Samar, Leyte #SeniangPH",@ABSCBNNews
1/4/15 6:56,"Lalo pang humina ang Bagyong #SeniangPH, isa na lamang itong LPA ngayon, ayon sa @dost_pagasa. | via @wengsalvacion @dzbb",@gmanews
12/30/14 23:40,#SeniangPH Signal No. 1 (4:30 PM) Southern Palawan,@IMReadyPH
12/30/14 23:11,"Bilang ng namatay sa pananalasa ng bagyong #SeniangPH ,umakyat na sa 57; mahigit 50,000 na pamilya, apektado ng bagyo.",@dzbb
12/30/14 21:41,"#SeniangPH UPDATE: As of 12:00 NN, huli itong namataan ng @dost_pagasa sa layong 250 km timog ng Cuyo, Palawan.",@IMReadyPH
12/30/14 19:20,"52,000 pamilya, naapektuhan ng bagyong #SeniangPH, ayon sa @NDRRMC_OpCen. | via @glenjuego",@gmanews
12/30/14 19:21,Aabot na sa 26 ang sugatan habang 8 pa ang nawawala sa pananalasa ng bagyong #SeniangPH. _ã_ @NDRRMC_OpCen | via @glenjuego,@gmanews
12/30/14 13:27,"#SeniangPH, nananatili ang lakas; Palawan, signal no. 2",@DZMMTeleRadyo
12/30/14 12:56,NDRRMC: 21 na ang kumpirmadong patay sa pananalasa ng Bagyong #SeniangPH sa Visayas at Mindanao #UnangHirit,@UnangHirit
12/30/14 12:34,"Bagyong #SeniangPH, huling na-monitor ng @dost_pagasa sa layong 150 km southwest ng Cuyo, Palawan.",@dzbb
12/30/14 5:53,"#SeniangPH Signal no. 1 Luzon: Calamian Group of Islands Visayas: Guimaras, Antique and Southern Iloilo",@InqNational
12/30/14 5:51,"#SeniangPH Signal no. 2 Luzon: Cuyo Island and Palawan, via @dost_pagasa",@InqNational
12/30/14 5:14,"#AksyonTonite: Bilang ng nasawi dahil sa Bagyong #SeniangPH, umabot na sa 21 ayon sa NDRRMC",@News5AKSYON
12/30/14 4:46,"4 ang nawawala sa Bohol, 4 sa Cebu, 1 sa Bukidnon at 1 sa Agusan del Norte; 17 katao ang naitalang nasugatan. | @_jamesagustin #SeniangPH",@gmanews
10/23/15 11:20,"(Oct. 23, 2015) NDRRMC: Update sa pinsala ng #LandoPH 2 provinces, 1 city, 9 municipalities under state of calamity @NDRRMC_OpCen",@dzrhnews
10/23/15 5:40,"Low pressure area [dating bagyong #LandoPH], huling namataan sa layong 285 km silangan ng Basco, Batanes, ayon sa @dost_pagasa.",@dzbb
10/23/15 5:29,"Bagyong #LandoPH, pinakamapaminsala sa mga bagyo na tumama sa bansa ngayong taon. #DobolBBalitangBalita",@dzbb
6/8/16 5:03,"Baha sa Maysilo, Mandaluyong magtatagal pa https://shar.es/1JrteK  | @jay_dones",@dzlQ990
6/6/16 23:19,"Trapik, baha resulta ng biglaang pag-ulan - DZIQ Radyo Inquirer 990AM https://shar.es/1JWy5i  | @jay_dones",@dzlQ990
12/23/15 8:02,"Ilang bahagi ng Mandaluyong, baha pa rin ilang araw na lang bago ang Pasko | via @sherwinalfaro @MandaluyongPIO",@dzrhnews
12/16/15 1:06,PAGASA: #BagyongNona Signal no. 2 Bataan Southern Zambales Batangas Cavite Lubang Island,@NewsLightTV
12/16/15 1:04,PAGASA: #BagyongNona Signal no. 2 Bulacan Pampanga Tarlac Rest of Zambales,@NewsLightTV
12/16/15 1:04,PAGASA: #BagyongNona<newline><newline>Signal no. 1<newline><newline>Metro Manila<newline>Laguna<newline>Rizal<newline>Northern Occidental Mindoro<newline>Northern Oriental Mindoro,@NewsLightTV
12/15/15 3:30,"Signal #3: Oriental Mindoro, Occidental Mindoro, Lubang Island",@PatnubayOnline
12/15/15 3:30,"Signal #2: Batangas, Cavite, Marinduque",@PatnubayOnline
12/15/15 3:30,Signal #2: Romblon at Calamian Group of Islands,@PatnubayOnline
12/15/15 3:31,"Signal #1: Metro Manila, Bataan, Southern Zambales, Bulacan, Laguna",@PatnubayOnline
12/15/15 3:31,"Signal #1: Rizal, Quezon, Northern Palawan, Cuyo Island at Antique",@PatnubayOnline
12/14/15 14:13,Higit 500 pasahero #stranded sa #Batangas Port dahil sa Bagyong Nona.#bagyongnona,@TV5manila
12/14/15 18:36,Wala ng supply ng kuryente sa ilang bahagi ng Sibuyan Island #bagyongnona,@rpost2015
12/14/15 18:24,"Naramdaman na sa San Fernando, Romblon ang malakas na ulan na may kasamang hangin #bagyongnona",@rpost2015
1/6/16 2:44,"Mga kalsada sa Infanta, Quezon, sira pa rin matapos matabunan ng landslides noong bagyong #NonaPH",@TVPatrol
12/29/15 5:29,"Tatlong Islang sinalanta ni bagyong _ã_#_ã_NonaPH_ã‘ sa Romblon, patuloy na bumabangon. Mga residente, mag diriwang ng bagong taong walang kuryente",@RomblonNews
12/28/15 9:34,"100% ng Sibale Island, Romblon, winasak ng bagyong #NonaPH; tulong, kailangang-kailangan",@DZMMTeleRadyo
12/29/15 2:46,"Bagsik ng bagyong #NonaPH, pagbagsak ng kisame sa sinehan, at pananakit sa bata, ilan sa ibinahagi ng Bayan Patrollers",@TVPatrol
12/25/15 2:08,Inabutan na ng pasko ang bahang dulot ng Bagyong #NonaPH sa Bulacan,@24OrasGMA
12/23/15 5:53,"Pinsala ni #NonaPH sa Sibale Romblon, halos sariwa parin isang linggo matapos na manalasa ang bagyo",@RomblonNews
12/23/15 2:17,"Ang mga taga-Corcuera, Romblon, hirap pa ring bumangon mula sa pananalasa ni #NonaPH",@24OrasGMA
12/22/15 23:10,"Nagbigay ng tulong na nagkakahalagang P100,000 ang LGU-Odiongan sa tatlong islang nasalanta ng bagyong #NonaPH.",@RomblonNews
12/22/15 22:40,"Pagpapailaw sa bayan ng Corcuera, maaring abutin pa ng 2 buwan; ayon kay Vice Mayor Elmer Fruelda #NonaPH",@GMAnewsbreaking
12/22/15 0:36,"Nasawi sa #NonaPH, umabot na sa 42",@DZAR1026
12/21/15 7:12,"Emergency shelter repair para sa mga nasalanta ng bagyong #NonaPH, tiniyak ng DSWD",@DZMMTeleRadyo
12/21/15 6:34,"Balot ng putik ang ilang lugar sa Baco, Oriental Mindoro na nakaranas ng lagpas-taong baha nang manalasa ang Bagyong #NonaPH.",@saksi
12/21/15 6:34,"Wala na ang Bagyong #OnyokPH o Bagyong #NonaPH pero baha pa rin sa Baler, Aurora dulot ng ulan dahil sa amihan at cold front.",@saksi
12/21/15 2:34,"Halos 10,000 nasalanta ng Bagyong #NonaPH ang nahatiran ng tulong ng Operation Bayanihan ng @gmakf",@24OrasGMA
12/21/15 2:31,"#KapusongTotoo: Ang ating Operation Bayanihan, agad nagsadya sa mga nasalanta ng Bagyong #NonaPH sa Matnog, Sorsogon.",@24OrasGMA
12/20/15 22:33,NDRRMC: 40 patay dahil sa bagyong #NonaPH,@BalitaNgayon
12/20/15 22:07,Death toll sa bagyong #NonaPH tataas pa sa kasalukuyang 40 katao,@NewsCentralPH
12/20/15 14:11,"Pinsala ng bagyong #NonaPH, mahigit __±3-B na. #SuperBalitaSaUmagaNationwide",@dzbb
12/20/15 13:59,"Sa kabuoan 430,801 pamilya ang nailikas, 17,808 ang nasa evacuation centers na 288",@dwiz882
12/19/15 19:37,Posible raw na brownout sa Pasko sa ilang lugar sa Oriental Mindoro dahil sa lawak ng pinsala dulot ng #NonaPH.,@Balitanghali11
12/19/15 7:28,"Bilang ng mga namatay sa bagyong #NonaPH, tumaas pa",@TVPatrol
12/18/15 21:53,"Halaga ng pinsala sa imprastruktura ng bagyong #NonaPH, nasa mahigit P60 milyon na - ayon sa @DPWHph",@GMAnewsbreaking
12/18/15 19:25,Mahigit 200 paaralan sa buong Oriental Mindoro ang napinsala ng Bagyong #NonaPH,@Balitanghali11
12/18/15 19:01,Nasa state of calamity ngayon ang buong Pilipinas dahil sa pananalasa ng Bagyong #NonaPH.,@Balitanghali11
12/18/15 18:23,NDRRMC: 42 kalsada at  21 tulay ang hindi pa rin madaanan dahil sa bagyong #NonaPH,@dwiz882
12/18/15 18:12,34 na ang kumpirmadong patay dahil sa bagyong #NonaPH ayon sa NDRRMC,@dwiz882
12/18/15 12:21,"PNoy, nagdeklara ng state of national calamity dahil sa hagupit ni #NonaPH",@GMAnewsbreaking
12/18/15 8:23,"#NonaPH, nag-iwan sa Isabela ng higit P70-M pinsala sa agrikultura ",@TVPatrol
12/18/15 4:41,"State of Calamity, idineklara na sa lalawigan ng Romblon dahil sa iniwang pinsala ni #NonaPH.",@RomblonNews
12/18/15 4:23,"Kumpara sa Bagyong #NonaPH, higit na mas mahina ang hanging dala ng Bagyong #OnyokPH.",@stateofdnation
12/18/15 3:47,"Isa sa mga classrooms na nagiba dahil sa bagyong #NonaPH sa Pola, Oriental Mindoro",@BalitaNgayon
12/18/15 2:25,"Mahigit P70-m, iniwang pinsala ng bagyong #NonaPH sa agrikultura",@TVPatrol
12/18/15 1:54,"#TVPatrol Mahigit 1,500 pamilya na sinalanta ng bagyong #NonaPH, tumanggap ng tulong ",@TVPatrol
12/18/15 1:52,"#TVPatrol  Mga pamilyang lumikas, nagsisiuwian na #NonaPH",@TVPatrol
12/18/15 1:48,"#TVPatrol Pola, Oriental Mindoro, isinailalim sa state of calamity dahil sa Bagyong #NonaPH ",@TVPatrol
12/18/15 1:47,"#TVPatrol 45,000 na bahay, sinira ng bagyong #NonaPH sa Oriental, Mindoro",@TVPatrol
12/18/15 1:46,"#TVPatrol Libu-libong sako ng bigas, nabasa nang matuklap ang bubong ng mga bodega dahil sa bagyong #NonaPH ",@TVPatrol
12/18/15 1:48,#TVPatrol 11 patay noong kasagsagan ng bagyong #NonaPH sa Oriental Mindoro TVPatrol,@TVPatrol
12/18/15 1:45,Baka mag- pasko sa dilim ang mga residente ng Northern Samar Na napuruhan ng Bagyong #NonaPH,@24OrasGMA
12/18/15 1:30,"#TVPatrol PNoy, nagdeklara ng State of National Calamity para mapadali ang pagtugon sa pananalasa ng Bagyong #NonaPH",@TVPatrol
12/18/15 1:39,Ilang bangka ang lumubog at nawasak nang manalasa ang Bagyong #NonaPH sa Northern Samar. ,@24OrasGMA
12/18/15 1:38,"#TVPatrol Ekta-ektaryang pananim sa bayan ng Candaba, napinsala #NonaPH",@TVPatrol
12/18/15 1:32,5 ang nasawi at 2 ang nawawala  dahil sa landslide dala ng Bagyong #NonaPH. ,@24OrasGMA
12/18/15 1:30,Landslide ang pangunahing naminsala sa ilang bahagi ng Nueva Vizcaya at Nueva Ecija bunsod ng #NonaPH.,@24OrasGMA
12/18/15 0:56,Higit 3000 na ang stranded na pasahero sa iba't-ibang pier dahil sa Bagyong #NonaPH.,@dzbb
12/18/15 0:24,"Pinsalang dinulot ng #NonaPH, umabot sa higit P900 milyon",@DZAR1026
